s,count
200,1
215,2
223,4
227,2
256,1
260,3
263,2
264,6
268,2
271,3
272,3
275,1
276,2
280,1
282,1
292,1
294,1
295,2
299,2
312,4
315,1
316,2
319,1
320,2
324,1
326,1
327,2
335,2
340,1
344,2
347,2
348,1
351,1
352,3
354,1
355,1
356,2
360,2
367,1
372,1
375,1
379,1
383,1
388,1
395,1
399,1
408,1
412,1
419,1
454,1
464,1
470,1
476,2
477,1
479,1
480,1
481,2
484,1
500,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
513,1
531,1
540,1
543,5
547,2
551,2
555,1
556,2
584,1
588,1
591,1
592,1
595,1
599,1
611,1
626,1
631,1
635,1
649,1
655,1
659,1
667,1
671,1
674,1
675,1
682,1
684,1
686,1
688,1
690,1
692,1
696,1
700,1
705,1
715,1
729,1
740,1
744,1
747,1
755,1
756,1
766,1
768,1
786,1
801,1
831,1
839,1
847,1
851,1
855,1
856,1
868,1
892,1
895,1
896,2
899,1
903,1
1006,1
1015,1
1028,1
1051,1
1055,1
1062,1
1103,1
1110,1
1112,1
1133,1
1136,1
1146,1
1202,1
1205,1
1206,1
1209,1
1210,1
1226,1
1241,1
1242,1
1292,1
1295,1
1299,1
1313,1
1348,1
1370,1
1374,1
1417,1
1418,1
1421,1
1433,1
1437,1
1441,1
1442,1
1463,1
1470,1
1488,1
1492,1
1494,1
1498,1
1513,1
1527,1
1576,1
1580,1
1584,1
1593,1
1614,1
1618,1
1619,1
1622,1
1626,1
1644,1
1650,1
1664,1
1677,1
1678,1
1681,1
1682,2
1685,1
1689,1
1706,1
1710,1
1713,1
1714,1
1718,1
1787,1
1790,1
1806,1
1815,1
1856,1
1857,1
1860,1
1895,1
1939,1
1949,1
1953,1
1972,1
1973,1
1976,1
1999,1
2071,2
2088,1
2267,1
2272,1
2290,1
2349,1
2374,1
2375,1
2392,1
2417,1
2419,1
2472,1
2473,2
2483,1
2487,2
2490,1
2494,1
2541,1
2554,1
2610,1
2633,1
2634,1
2637,2
2639,1
2643,1
2644,1
2645,1
2648,1
2649,1
2652,1
2653,1
2654,1
2658,1
2663,1
2720,1
2721,1
2728,1
2744,1
2748,1
2764,1
2768,1
2772,1
2773,1
2776,1
2777,1
2778,1
2779,1
2782,1
2783,1
2787,1
2789,1
2791,1
2793,1
2797,1
2798,1
2799,1
2801,1
2804,1
2859,1
2896,1
2907,1
2911,1
2934,1
2937,1
2946,1
2950,1
2952,1
2956,1
2960,1
2972,1
2976,1
2980,1
3114,1
3158,1
3166,1
3201,1
3205,1
3224,1
3240,1
3241,1
3245,1
3249,2
3258,1
3286,1
3300,1
3310,1
3368,1
3508,1
3509,1
3514,1
3518,1
3519,1
3526,1
3549,1
3700,1
3739,1
3773,1
3828,1
3832,1
3836,1
3837,1
3841,1
3845,1
3846,1
3895,1
3985,1
4022,1
4103,1
4104,1
4107,1
4108,2
4111,1
4170,1
4174,1
4219,1
4339,1
4343,1
4463,1
4471,1
4475,1
4479,1
4507,1
4513,1
4517,1
4560,1
4561,1
4683,1
4819,1
4823,1
4854,1
4855,1
4921,1
4934,1
4992,1
5063,1
5067,1
5142,1
5146,1
5427,1
5471,1
5475,1
5533,1
5537,1
5538,1
5584,1
5691,1
5756,1
5757,1
5758,1
5877,1
5892,1
5896,1
5943,1
5951,1
6026,1
6248,1
6259,1
6384,1
6592,1
6607,1
6611,1
6654,1
6658,1
6661,1
6767,1
6768,1
6772,1
6776,1
6882,1
7030,1
7274,1
7634,1
7851,1
7862,1
7866,1
8216,1
8321,1
8431,1
8435,1
8439,1
8992,1
9374,1
9378,1
9381,1
9382,1
9386,1
9824,1
9969,1
9970,1
9973,1
9974,1
9975,1
9976,1
9977,1
9978,1
9979,1
9980,1
9981,1
9982,1
9986,1
10273,1
10299,1
10303,1
10524,1
11150,1
11195,1
11380,1
11381,1
11384,1
11385,1
11386,1
11387,1
11391,1
11666,1
11670,1
11671,1
11674,1
12765,1
12818,1
13069,1
13070,1
13357,1
13922,1
13923,1
13926,1
13930,1
14113,1
15295,1
16361,1
16607,1
16616,1
17992,1
18628,1
18632,1
18636,1
18927,1
19365,1
19369,1
19373,1
19374,1
19375,1
19376,1
19379,1
19380,1
20537,1
20541,1
21411,1
21412,1
21453,1
25563,1
30948,1
33094,1
33098,1
33099,1
41139,1
41982,1
41983,1
43264,1
